,Accuracy,Precision,Recall,F1
SimpleCNN,0.9521035598705502,0.9526195941973811,0.9521035598705502,0.9519472872778804
DeeperCNN,0.8647249190938512,0.8697840417627003,0.8647249190938512,0.8645081508607878
ResNet50,0.970873786407767,0.9712935524732103,0.970873786407767,0.9709705037605296
EfficientNet,0.9831715210355987,0.9833573093915614,0.9831715210355987,0.9831886902059831
